순번,학원 및 교습소명,주소
1,수성간호학원,대구광역시 수성구 달구벌대로 2513  2층 일부 3층 일부 (범어동 수성간호학원)
2,라이크아카데미학원,대구광역시 수성구 달구벌대로 2488  4층 (범어동)
3,현대전기전자통신회계학원,대구광역시 중구 중앙대로 462   2층 3층 (북성로1가)
4,학정서예학원,대구광역시 중구 봉산문화길 94   2층 (봉산동)
5,한국경찰학원,대구광역시 중구 중앙대로 390   센트럴엠 6층 (동성로3가)
6,신천국제입시학원,대구광역시 동구 송라로 84 (신천동 대성빌딩)
7,한국컴퓨터속기학원,대구광역시 중구 중앙대로 390  7층 703호 (동성로3가)
8,효목학원,대구광역시 동구 효동로 78-1  2층 (효목동효동빌딩)
9,우방음악학원,대구광역시 수성구 청호로 330 () 우방2차 상가 2층
10,대구용접기술학원,대구광역시 동구 아양로 119  3층 (신암동)
11,OLLO창작로봇IT영재학원,대구광역시 수성구 명덕로 455  롯데캐슬상가 309호 310호 (수성동3가)
12,중앙컴퓨터학원,대구광역시 수성구 달구벌대로 2467  3층 일부 (범어동)
13,청아입시학원,대구광역시 수성구 수성로 85  3층 일부 4층 (상동)
14,쎈학원,대구광역시 동구 국채보상로159길 41  우방푸른타운상가 109동 301호 일부 302호 (신천동우방푸른타운)
15,세방컴퓨터학원,대구광역시 수성구 명덕로 455  101동 301호 (수성동3가 수성3가롯데캐슬아파트)
16,장원입시학원,대구광역시 수성구 상록로 66   외 1필지 3층 (범어동)
17,스카이에듀학원,대구광역시 동구 화랑로 433 2층(방촌동)
18,주은아피아노스튜디오음악학원,대구광역시 수성구 지범로39길 21-9  3층 (범물동)
19,청림수학학원,대구광역시 수성구 달구벌대로504길 10   2-3층 (범어동)
20,뮤직아카데미HUMAN학원,대구광역시 수성구 청호로46길 16  207동 301호 (황금동 신천지타운)
21,필즈더클래식학원,대구광역시 수성구 범어천로 128   3층 (범어동)
22,중앙SKY학원,대구광역시 수성구 달구벌대로 2648   3층 (만촌동)
23,청어람입시학원,대구광역시 동구 둔산로 22   3층일부 (방촌동)
24,뮤엠영어진수학학원,대구광역시 수성구 동대구로38길 90  2층 (범어동)
25,청탑학원,대구광역시 수성구 동대구로 202  2층 (황금동)
26,파랑속셈학원,대구광역시 동구 동촌로 175   2층 (방촌동)
27,영일입시학원,대구광역시 동구 반야월북로27길 2  4층 (각산동)
28,원영입시학원,대구광역시 수성구 달구벌대로458길 35   1~3층 (수성동1가)
29,뿌리학원,대구광역시 수성구 신천동로 380 116동 301호(수성동1가우방오성타운)
30,대구제과제빵커피학원,대구광역시 중구 달구벌대로 2109-18  3층 일부 (덕산동)
31,해법수학플러스학원,대구광역시 수성구 달구벌대로625길 21   5번지 (시지동)
32,MV-FGA코리아보석학원,대구광역시 중구 공평로10길 60   외1필지 삼덕아이파크 2층 (삼덕동2가)
33,서울컴퓨터회계학원,대구광역시 동구 아양로39길 6  3층 일부 (신암동)
34,동아요리학원,대구광역시 중구 국채보상로 604  3층 (문화동)
35,헤럴드외국어학원,대구광역시 중구 동성로5길 26  3층 301호 (삼덕동1가)
36,쥴리아드음악학원,대구광역시 수성구 고산로 121-21 (매호동)
37,고려이엠(EM)영어.수학학원,대구광역시 수성구 달구벌대로 3175  4층 (매호동)
38,A.P입시학원,대구광역시 수성구 지범로39길 21   2층 3층 (범물동)
39,걸리버학원,대구광역시 수성구 상록로 54  3층 (범어동)
40,영원한미소미술학원,대구광역시 중구 중앙대로 267  2층 3층 (남산동)
41,명문수플러스영수학원,대구광역시 수성구 시지로 50-3   1층 2층 (시지동)
42,쏭즈피아노학원,대구광역시 수성구 교학로11길 46  301동 303호(만촌동 만촌우방타운상가)
43,제3미술학원,대구광역시 중구 중앙대로 274  1층 일부 (남산동)
44,아벨수학학원,대구광역시 수성구 지범로 204  5층 (범물동)
45,좋은음악학원,대구광역시 동구 방천로7길 73  2층 (지저동)
46,미대편입플러스학원,대구광역시 중구 봉산문화1길 3  2층 (봉산동 뜨란채고시텔)
47,대구스피치화술학원,대구광역시 중구 중앙대로 394  11층 (남일동)
48,남부요리학원,대구광역시 중구 달구벌대로 2202  5층 (대봉동 대봉빌딩)
49,세화요리아카데미학원,대구광역시 중구 달구벌대로 1933   3층 (대신동)
50,이지컴디자인학원,대구광역시 중구 중앙대로 434   4층 (포정동)
51,애니마투스디자인학원,대구광역시 중구 동덕로 36   3층 (대봉동)
52,노블외국어학원,대구광역시 수성구 지범로 167  801호 일부 802호 (지산동 지산메디지오)
53,시지외대어학원,대구광역시 수성구 고산로 104  4층 일부 5층 전부 (신매동 티에이치엘 빌딩)
54,DUP어학원,대구광역시 수성구 청호로 301 황금동 2층
55,스카이아카데미학원,대구광역시 중구 동성로 55-1  3~4층 (동성로2가)
56,전원음악학원,대구광역시 수성구 신매로6길 8-1  신매동 (신매동)
57,소리샘피아노학원,대구광역시 중구 달구벌대로445길 8-18   2번지 (삼덕동3가)
58,에이아이원미술학원,대구광역시 수성구 달구벌대로 2455  3층 (범어동)
59,아뜰리에학원,대구광역시 동구 방촌로 117   2층 (방촌동)
60,테라컴퓨터학원,대구광역시 수성구 달구벌대로 3090   4층 (시지동)
61,에프밀라노패션전문디자인학원,대구광역시 중구 동성로2길 56   4층 (공평동)
62,정격과학학원,대구광역시 수성구 달구벌대로 2557   3층 (만촌동)
63,골든키학원,대구광역시 중구 국채보상로 554-1  5층 (종로1가)
64,초일류입시학원,대구광역시 수성구 달구벌대로496길 6   2층 (범어동)
65,단포포일본어학원,대구광역시 중구 공평로 13   4층 (삼덕동1가)
66,삼성간호학원,대구광역시 중구 국채보상로 582  8층 일부 (남일동 미도빌딩)
67,이지-UP입시음악학원,대구광역시 동구 반야월로 401-2   2층 (신서동)
68,조이엘피아노학원,대구광역시 수성구 신매로 21  시지보성서한아파트 상가 105-201 (신매동)
69,아르지앵미술학원,대구광역시 수성구 청수로 45길159  1층 2층 (황금동)
70,슈만클라라음악학원,대구광역시 수성구 청수로 235  3층 310-1호 (황금동 캐슬골드파크 2단지)
71,메가컴퓨터학원,대구광역시 수성구 달구벌대로647길 20-3   3층 (신매동)
72,이아이이(EIE)남산어학원,대구광역시 중구 남산로 35  2층 (남산동 웨딩산호)
73,청산학원,대구광역시 수성구 달구벌대로 2489   4층 (범어동)
74,리틀지니어스외국어학원,대구광역시 중구 동덕로30길 136   외 1필지 1~3층 (삼덕동3가)
75,엠베스트영재학원,대구광역시 동구 안심로41길 36   2층 (서호동)
